sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,r_charge_degree,r_days_from_arrest,r_offense_date,r_jail_in,violent_recid,is_violent_recid,vr_charge_degree,vr_offense_date,score_text,screening_date,v_decile_score,v_score_text,event
Male,69,Greater than 45,Other,0,1,0,0,0,-1.0,13/08/2013 6:03,14/08/2013 5:41,1.0,(F3),Aggravated Assault w/Firearm,0,,,,,,0,,,Low,14/08/2013,1,Low,0
Male,31,25 - 45,Caucasian,0,5,0,0,0,,,,,,,-1,,,,,,0,,,Medium,31/12/2014,2,Low,0
Male,34,25 - 45,African-American,0,3,0,0,0,-1.0,26/01/2013 3:45,05/02/2013 5:36,1.0,(F3),Felony Battery w/Prior Convict,1,(F3),,05/07/2013,,,1,(F3),05/07/2013,Low,27/01/2013,1,Low,1
Male,24,Less than 25,African-American,0,4,0,1,4,-1.0,13/04/2013 4:58,14/04/2013 7:02,1.0,(F3),Possession of Cocaine,1,(M1),0.0,16/06/2013,16/06/2013,,0,,,Low,14/04/2013,3,Low,0
Male,23,Less than 25,African-American,0,8,1,0,1,,,,1.0,(F3),Possession of Cannabis,0,,,,,,0,,,High,13/01/2013,6,Medium,0
Male,43,25 - 45,Other,0,1,0,0,2,,,,76.0,(F7),arrest case no charge,0,,,,,,0,,,Low,26/03/2013,1,Low,0
Male,44,25 - 45,Other,0,1,0,0,0,0.0,30/11/2013 4:50,01/12/2013 12:28,0.0,(M1),Battery,0,,,,,,0,,,Low,30/11/2013,1,Low,0
Male,41,25 - 45,Caucasian,0,6,0,0,14,-1.0,18/02/2014 5:08,24/02/2014 12:18,1.0,(F3),Possession Burglary Tools,1,(F2),0.0,31/03/2014,31/03/2014,,0,,,Medium,19/02/2014,2,Low,0
Male,43,25 - 45,Other,0,4,0,0,3,-1.0,29/08/2013 8:55,30/08/2013 8:42,1.0,(F3),arrest case no charge,0,,,,,,0,,,Low,30/08/2013,3,Low,0
Female,39,25 - 45,Caucasian,0,1,0,0,0,-1.0,15/03/2014 5:35,18/03/2014 4:28,1.0,(M1),Battery,0,,,,,,0,,,Low,16/03/2014,1,Low,0
Male,20,Less than 25,Caucasian,0,10,0,1,0,-1.0,08/12/2013 8:17,10/01/2014 12:16,1.0,(F3),Possession Of Alprazolam,0,,,,,,0,,,High,09/12/2013,9,High,0
Female,26,25 - 45,Caucasian,0,5,0,0,0,-1.0,04/09/2014 2:37,05/09/2014 8:41,1.0,(F3),Possession Of Alprazolam,0,,,,,,0,,,Medium,05/09/2014,3,Low,0
